territories,pvi
National,0.0
Alabama,-28.62
Alaska,-16.43
Arizona,-7.59
Arkansas,-29.58
California,23.96
Colorado,4.42
Connecticut,13.5
Delaware,12.82
Florida,-4.73
Georgia,-7.73
Hawaii,31.4
Idaho,-34.92
Illinois,13.47
Indiana,-18.59
Iowa,-7.43
Kansas,-22.38
Kentucky,-29.66
Louisiana,-21.98
Maine,5.61
Maryland,25.07
Massachusetts,24.44
Michigan,0.5
Minnesota,1.94
Mississippi,-18.78
Missouri,-17.92
Montana,-20.31
Nebraska,-25.46
Nevada,0.33
New Hampshire,0.93
New Jersey,12.43
New Mexico,6.22
New York,21.15
North Carolina,-5.85
North Dakota,-33.07
Ohio,-7.87
Oklahoma,-37.84
Oregon,9.55
Pennsylvania,-1.56
Rhode Island,17.75
South Carolina,-15.64
South Dakota,-28.16
Tennessee,-26.7
Texas,-13.62
Utah,-32.31
Vermont,28.83
Virginia,2.94
Washington,13.06
West Virginia,-39.4
Wisconsin,-1.23
Wyoming,-47.0
