Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
National,0.954,0.0,0.001,0.003,0.0,0.001,0.001,0.0,0.001,0.0,0.002,0.003,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.001,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.002,0.001,0.0,0.001,0.001,0.002,0.001,0.001,0.0,0.001,0.003,0.001,0.001,0.0,0.001,0.002,0.001,0.0,0.001,0.001,0.0,0.002,0.0
Alabama,0.067,0.0,0.016,0.047,0.008,0.015,0.009,0.007,0.011,0.0,0.039,0.054,0.0,0.0,0.005,0.014,0.014,0.0,0.0,0.0,0.008,0.008,0.02,0.022,0.014,0.05,0.022,0.0,0.013,0.02,0.03,0.0,0.015,0.0,0.039,0.017,0.004,0.026,0.014,0.055,0.013,0.032,0.01,0.021,0.051,0.01,0.014,0.0,0.022,0.032,0.016,0.003,0.016,0.024,0.004,0.048,0.0
Alaska,0.027,0.0,0.634,0.018,0.002,0.008,0.005,0.003,0.004,0.0,0.014,0.018,0.0,0.0,0.002,0.004,0.005,0.0,0.0,0.0,0.003,0.003,0.007,0.01,0.006,0.015,0.009,0.0,0.004,0.008,0.011,0.0,0.005,0.0,0.017,0.006,0.002,0.008,0.006,0.016,0.006,0.01,0.003,0.008,0.018,0.004,0.004,0.0,0.006,0.014,0.008,0.001,0.007,0.011,0.001,0.017,0.0
Arizona,0.008,0.0,0.002,0.893,0.001,0.002,0.001,0.001,0.001,0.0,0.005,0.006,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.002,0.005,0.002,0.0,0.001,0.002,0.003,0.0,0.002,0.0,0.005,0.002,0.001,0.003,0.002,0.005,0.001,0.003,0.001,0.002,0.006,0.001,0.001,0.0,0.002,0.004,0.002,0.0,0.002,0.003,0.0,0.005,0.0
Arkansas,0.051,0.0,0.013,0.036,0.246,0.011,0.007,0.005,0.008,0.0,0.029,0.039,0.0,0.0,0.004,0.011,0.011,0.0,0.0,0.0,0.006,0.006,0.016,0.016,0.011,0.037,0.017,0.0,0.01,0.016,0.023,0.0,0.011,0.0,0.03,0.013,0.003,0.019,0.011,0.041,0.01,0.025,0.008,0.016,0.038,0.008,0.01,0.0,0.016,0.025,0.012,0.002,0.012,0.019,0.003,0.036,0.0
California,0.023,0.0,0.006,0.015,0.001,0.706,0.004,0.002,0.003,0.0,0.012,0.015,0.0,0.0,0.002,0.003,0.003,0.0,0.0,0.0,0.002,0.002,0.005,0.009,0.006,0.012,0.007,0.0,0.003,0.004,0.008,0.0,0.003,0.0,0.015,0.005,0.002,0.007,0.007,0.013,0.004,0.007,0.002,0.007,0.014,0.004,0.003,0.0,0.004,0.013,0.006,0.001,0.006,0.009,0.001,0.013,0.0
Colorado,0.043,0.0,0.012,0.028,0.003,0.012,0.417,0.005,0.006,0.0,0.022,0.028,0.0,0.0,0.004,0.007,0.007,0.0,0.0,0.0,0.004,0.004,0.011,0.017,0.012,0.024,0.015,0.0,0.006,0.011,0.018,0.0,0.008,0.0,0.025,0.011,0.004,0.013,0.011,0.026,0.009,0.015,0.005,0.014,0.029,0.007,0.006,0.0,0.009,0.02,0.012,0.002,0.012,0.02,0.002,0.026,0.0
Connecticut,0.052,0.0,0.013,0.033,0.004,0.014,0.009,0.298,0.008,0.0,0.028,0.031,0.0,0.0,0.005,0.008,0.008,0.0,0.0,0.0,0.005,0.005,0.013,0.022,0.016,0.031,0.018,0.0,0.007,0.013,0.019,0.0,0.009,0.0,0.028,0.015,0.005,0.015,0.015,0.031,0.009,0.019,0.005,0.016,0.038,0.01,0.007,0.0,0.011,0.021,0.013,0.002,0.014,0.021,0.002,0.032,0.0
Delaware,0.045,0.0,0.011,0.029,0.003,0.011,0.007,0.005,0.395,0.0,0.025,0.03,0.0,0.0,0.004,0.007,0.007,0.0,0.0,0.0,0.005,0.005,0.013,0.016,0.01,0.028,0.014,0.0,0.007,0.012,0.017,0.0,0.009,0.0,0.025,0.011,0.003,0.013,0.011,0.03,0.008,0.017,0.005,0.013,0.034,0.007,0.007,0.0,0.011,0.019,0.01,0.002,0.012,0.016,0.002,0.028,0.0
District of Columbia,0.07,0.0,0.022,0.046,0.005,0.026,0.013,0.008,0.01,0.0,0.037,0.057,0.0,0.0,0.007,0.011,0.011,0.0,0.0,0.0,0.006,0.006,0.014,0.036,0.024,0.042,0.022,0.0,0.009,0.016,0.026,0.0,0.01,0.0,0.048,0.015,0.007,0.024,0.028,0.044,0.014,0.024,0.008,0.02,0.044,0.013,0.01,0.0,0.015,0.042,0.02,0.002,0.02,0.029,0.003,0.039,0.0
